CODMUN_LLEGADA;ND;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
05282;0;0;0;0;0;1;0;5;11;8;0;3;12;3;54;15;14;17;23;28;19;18;12;14;16;16;30;22;23;6
05284;4;2;15;10;19;18;17;26;45;51;67;96;204;520;488;587;421;2156;441;234;265;174;133;116;163;143;105;75;50;27
05306;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;19;7;0;0;4;2;2;7;2;3;5;7;0;0;0
05308;7;0;0;0;0;0;0;0;4;2;3;4;11;15;19;36;8;91;219;85;14;45;74;70;81;57;48;44;61;12
05310;0;1;0;0;0;0;5;0;0;0;2;0;0;0;9;10;11;16;6;0;11;20;4;5;15;0;3;19;13;0
05313;5;0;0;0;0;0;0;0;0;3;0;0;0;4;11;299;49;627;1071;4062;690;465;198;217;167;192;39;57;33;27
05315;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;3;7;3;7;2;18;15;5;0;8;18;4;30;10;0
05318;1;11;0;0;4;0;11;20;0;0;17;5;27;13;37;145;155;85;152;114;114;173;161;94;123;72;77;131;91;19
05321;0;0;0;0;0;0;0;4;0;3;11;0;0;8;0;15;0;73;33;40;32;32;30;12;23;34;7;4;4;0
05347;0;0;0;0;0;3;0;0;0;0;10;6;12;0;11;11;40;149;39;29;12;51;26;6;13;16;0;28;14;12
05353;0;0;0;0;0;0;0;0;0;0;0;12;1;8;11;0;6;14;12;0;5;2;0;8;13;1;10;3;0;0
05360;21;2;0;7;8;14;3;35;19;8;30;37;49;127;196;242;302;719;1223;938;562;555;711;622;538;572;774;483;674;172
05361;0;0;0;2;0;1;4;0;6;6;2;6;3;35;878;1488;55;1298;2316;1165;111;3260;541;245;421;700;264;1568;164;37
05364;0;4;0;0;1;0;0;11;0;0;0;0;8;9;0;15;13;9;7;6;6;0;52;33;9;14;18;19;5;0
05368;0;1;0;0;0;0;0;0;0;0;4;2;0;9;6;9;12;30;6;0;3;4;5;10;6;11;7;20;17;0
05376;0;0;0;0;0;0;0;0;0;1;11;17;1;17;34;50;42;144;214;673;489;495;366;269;250;147;71;48;84;36
05380;4;2;0;0;0;0;1;0;0;18;3;4;15;59;38;45;35;132;196;162;94;122;79;101;105;86;131;69;81;26
05390;0;0;0;0;0;0;2;0;2;7;0;0;1;3;2;8;4;19;17;29;9;14;8;31;14;9;2;15;12;4
05400;6;16;0;0;3;0;2;29;12;26;20;113;48;56;339;325;255;1230;616;677;359;209;194;213;215;161;229;357;109;30
05411;0;0;10;1;0;12;0;0;0;5;0;0;26;35;36;1206;19;26;0;27;18;0;0;17;7;1;15;0;17;0
05425;0;0;1;1;0;0;5;6;0;0;2;0;9;0;15;10;13;6;20;12;40;6;34;25;44;74;53;21;12;2
05440;0;1;20;2;3;10;5;20;9;4;22;50;23;83;52;108;226;1112;1236;792;504;532;266;227;245;211;217;114;94;40
05467;0;0;5;7;0;0;0;0;0;0;2;8;2;6;1;30;52;132;174;149;106;57;15;44;36;15;7;0;7;3
05475;0;0;3;0;0;0;0;0;1;0;0;0;11;17;496;13;43;50;3090;444;68;21;74;7;0;28;0;0;0;0
05480;11;13;8;0;4;12;0;32;12;15;9;54;99;527;13510;4166;346;1801;527;153;137;137;201;272;178;210;155;153;74;111
05483;0;4;1;0;0;0;10;0;0;6;9;6;14;39;22;35;78;65;28;163;451;246;350;2702;225;105;43;68;58;4
05490;13;65;102;60;69;78;60;132;103;185;263;580;2326;2894;2961;503;368;427;269;231;94;146;138;101;80;81;136;72;71;7
05495;11;0;1;4;2;5;1;14;21;5;6;2;7;11;45;114;44;180;87;165;77;190;315;219;181;104;254;1159;221;76
05501;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;0
05541;0;0;0;0;2;0;2;0;10;16;0;26;15;19;34;32;50;190;451;445;571;103;78;55;34;24;34;23;68;17
05543;0;0;0;0;0;0;0;0;0;0;0;4;13;4;15;8;26;19;8254;6;22;489;4;0;35;10;16;4;11;1
05576;0;0;0;0;0;0;0;0;0;0;0;0;3;9;25;5;2;25;7;7;4;4;0;12;8;2;15;4;5;0
05579;0;32;10;3;8;45;8;20;38;1;7;14;11;50;14;19;31;91;71;182;119;141;90;131;84;87;55;61;46;23
05585;0;0;0;0;0;1;0;0;0;0;0;1;0;0;6;16;20;62;994;471;19;54;38;28;11;27;35;16;2;6
05591;10;10;1;9;6;15;21;15;11;24;34;37;26;65;68;39;53;263;1507;551;315;188;110;94;70;67;59;30;27;0
05604;3;0;0;0;3;0;9;8;12;6;7;0;6;20;10;34;13;79;278;211;126;143;173;127;479;99;90;85;101;10
05607;0;0;0;0;0;5;0;23;3;2;9;10;17;12;8;42;34;71;71;65;39;53;73;79;47;72;38;29;28;3
05615;0;9;0;3;7;17;5;17;12;13;9;76;99;82;90;186;359;956;990;1576;1117;1010;822;727;508;391;207;194;234;63
05628;0;2;0;0;0;0;0;0;13;6;0;0;0;4;25;652;97;30;619;36;12;14;1;95;7;7;20;31;34;0
05631;0;0;0;0;0;0;0;5;11;15;0;7;10;6;18;38;14;115;102;77;65;52;63;79;56;63;49;71;51;21
05642;0;0;0;4;0;3;5;5;0;0;0;6;11;4;33;243;43;33;47;44;33;55;40;48;51;21;57;11;60;13
05647;0;5;0;0;0;0;0;6;0;0;5;0;0;15;22;45;2;13;43;12;113;22;31;11;41;34;43;13;38;3
05649;5;4;8;1;6;10;4;5;1;17;11;22;23;13;66;284;919;1034;1181;1610;2120;1386;308;313;134;180;92;84;131;40
05652;1;0;0;0;9;0;1;0;7;6;1;20;8;1;28;48;140;386;398;210;1745;2894;516;84;267;100;30;9;24;1
05656;0;0;0;0;0;0;0;0;8;0;0;0;12;0;9;0;18;19;9;40;0;9;14;0;7;4;11;8;18;5
05658;0;0;0;0;0;0;0;0;0;5;0;7;0;0;8;23;0;0;5;1;0;3;3;4;15;0;0;0;5;1
05659;0;104;72;84;87;120;89;151;171;467;367;355;677;484;432;580;296;577;313;328;396;276;341;276;242;298;248;206;53;15
05660;0;0;3;5;0;2;0;12;3;25;43;26;10;21;63;111;393;8373;1255;2171;2052;725;210;273;228;264;239;83;40;10
