CODMUN_LLEGADA;ND;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
15162;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0
15172;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;28;6;7;0;5;10;15;6;6;4;0;0
15176;0;0;0;0;0;10;1;0;0;0;0;3;10;20;1;2;12;58;46;67;47;64;76;147;77;104;40;17;54;17
15180;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;3;3;9;15;3;0;0;0;0;0;0;0
15183;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;5;0;10;0;0;11;54;5;33;14;16;9;0;0;0
15185;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;1;0;14;9;2;17;21;20;14;4;9;0
15187;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0
15189;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0
15204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;7;0;0;12;1;4;0;0;0
15212;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;26;0;0;0;0
15215;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
15218;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;4;0
15223;0;0;0;0;6;0;0;0;0;0;0;0;0;0;4;0;5;0;11;0;31;75;52;185;152;117;23;27;18;9
15224;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
15226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;0;0;0;0;0;0;0;0;0
15236;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;14;9;5;2;1;0;0;0;0
15238;0;0;0;0;0;0;0;3;0;0;0;3;4;7;4;0;2;69;112;294;210;271;152;100;116;118;109;68;60;16
15272;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;0;0;0;0;19;0;0;0
15276;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;8;6;0;0;0;0;0;0;0;0
15293;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;18;0;0;0;0;0;0;0;0;0;0
15296;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;3;0;4;16;3;0;5;0;0;0;0
15299;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;27;43;11;16;46;50;35;42;20;15;5;25;10
15317;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0
15322;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;19;5;24;16;9;24;8;19;21;8;9;0
15325;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;7;0;10;8;5;11;0;9;0
15332;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;6;0;0;0;0;0;0
15362;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0
15367;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;5;0;13;0;4;17;6;0;0;0;0
15368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
15377;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;13;8;34;9;0;5;6;9;0
15380;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;3;0;3;0
15401;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;0;0
15403;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;1;0;0;0;0
15407;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;21;0;0;7;4;25;13;14;20;10;5;1
15425;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;21;0;16;3;5;9;1;0;2;5;10;0
15442;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;5;8;0;5;0;3;0
15455;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;1;1;0;47;9;6;17;58;18;42;41;25;3;9;10
15464;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;17;0;3;55;4;8;0;2;0;0;0;0
15466;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;14;0;0;0;0;0;0
15469;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;33;29;21;13;16;13;10;79;34;4;6;0
15476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;9;0;0;0;0;0;0;0;0;0
15480;0;0;0;2;1;0;0;0;2;0;0;0;0;0;0;0;0;3;5;5;10;28;15;27;18;12;4;3;3;0
15491;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;11;0;12;16;47;14;35;12;23;12;15;0
15494;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;5;2;7;6;0;1;1;0;0
15500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;5;0;0
15507;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;5;0;47;1;15;34;40;59;25;50;8;6;3;6
15511;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;3;0;2;0;0;5;0;2;0;0;3
15514;0;0;0;0;0;0;0;8;8;2;0;0;2;0;0;4;62;15;324;52;6;16;13;5;20;1;4;2;8;0
15516;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;7;0;17;44;37;30;89;48;42;61;44;50;6;17;19
15518;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;366;20;14;5;7;4;4;0;1;7;0;0
15531;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;17;0;15;11;19;19;19;7;3;8;0
15533;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;8;0;0;0
15537;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;9;0;3;0;4;0;0;0;5;0
15542;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;33;9;0;0;6;4;0;1;4
15572;0;42;1;0;5;32;4;0;3;13;0;0;7;16;4;20;60;86;237;161;185;137;148;103;127;162;70;97;83;14
15580;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;5;0;6;5;10;0;4;2;0;0;0;0
15599;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;4;43;20;9;0;0;0;0;9;5;2;0
15600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;8;0;0;3;5;1;1;8;0;0
15621;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;12;8;0;5;0
15632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;2;5;0;0;0;0;0
15638;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;7;0;0;0
15646;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;5;28;41;24;34;20;34;34;73;69;13
15660;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;3;5;0;0;1;3;0;0;5;0
15664;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;11;0;5;6;0;0;3;27;19;23;12;11;0
15667;0;0;5;0;0;0;0;0;1;0;0;0;4;0;0;3;0;12;47;27;18;13;10;3;23;39;18;6;7;5
15673;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;5;0;0;0;0;0;0;0;0
15676;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;5;20;0;5;1;0;0;0;0
15681;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;10;0;21;4;5;0;14;2;0;6;3;0;0;1
15686;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;6;0;0;0;10;7;14;23;4;1;6;5;0
15690;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;7;5;18;0;0;10;14;0;3;0;4
15693;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;25;10;30;24;10;11;0;6;16;6;4;4;4
15696;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;4;0;0;5;4;0
15720;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;3;0;0;3;0;0
15723;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0
15740;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;7;0;0;1;0;0;0;0;0
15753;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;8;4;0;0;13;0;8;1;5;2;0;0
15755;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;5;0;6;36;8;4;0;0;0
15757;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;33;11;15;15;15;5;0;0;0
15759;2;0;0;0;0;0;0;1;3;0;0;0;2;7;5;20;8;430;317;322;205;273;283;101;157;170;128;36;45;39
15761;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;14;14;0;0;0;0;0;12;7;0;6;0
15762;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2
15763;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;13;0;0;0;0;0
15764;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;8;0;3;4;0
15776;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;3;6;21;0;0;0;0
15778;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;2;4;2;10;0;0;0;8;0;0
15790;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;19;11;20;0;3;16;0;0;0;0
15798;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;6;0;0;0;0;4;0;0;0
15804;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15806;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;9;51;20;9;1;10;28;15;11;2;0
15808;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;2;0;0;0;0;0
15814;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;11;0;0;0;0
15816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;12;0;0;0;1;14;4;9;3;0;0
15820;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0
15832;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;5
15835;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;0;0;0;5;0
15837;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;7;0;5;14;0;0;0
15839;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;2;0;0;2;0
15842;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;5;0
15861;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;4;4;6;1;6;8;0;0;0;0
15879;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;6;0;0;0;0;0;0;0;0;0;0
15897;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;12;7;19;16;0;26;14;4;0;0
17001;2;2;3;2;14;12;22;5;19;13;15;51;25;31;83;57;151;455;1268;3428;1211;1046;835;908;840;994;489;221;196;132
17013;0;0;0;0;0;0;0;0;0;3;0;10;0;0;9;0;0;9;0;122;79;70;87;90;115;62;21;24;0;7
17042;0;0;0;0;2;0;5;1;3;0;6;10;5;7;3;6;21;31;64;53;46;116;160;139;100;142;106;39;32;18
17050;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;22;20;1;60;16;16;5;54;18;36;16;20;7;1
17088;0;0;0;0;2;0;0;0;0;0;1;0;2;4;4;0;0;11;11;19;16;18;27;14;21;29;22;16;14;12
17174;0;0;0;5;0;0;0;0;6;5;0;0;4;0;4;3;1;31;54;91;133;72;83;121;178;131;72;14;22;14
17272;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;4;6;10;10;5;5;8;35;5;4;0;0
17380;2;35;11;13;2;10;13;33;2;9;18;21;14;25;42;16;49;127;217;437;178;69;157;135;196;218;135;136;78;23
17388;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;5;1;15;4;9;12;17;5;6;5;15;8;11;0
17433;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;4;26;15;2454;16;46;67;43;42;28;10;0;4;4
17442;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;9;0;0;6;0
17444;0;0;0;0;0;0;0;0;0;0;17;0;0;4;7;13;3;5;20;106;55;2445;67;26;86;52;40;10;6;4
17446;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;7;21;0;20;11;9;16;8;5;0;0;0
17486;0;0;0;0;0;0;0;4;0;0;0;0;0;0;5;6;11;5;3;57;19;14;4;1;39;28;3;0;0;3
17495;0;0;0;0;0;7;0;0;4;0;5;0;0;4;15;9;30;8;58;52;4;251;23;30;18;16;25;10;11;12
17513;0;0;0;0;0;0;0;0;0;4;0;3;0;0;0;0;0;15;33;20;44;0;25;1;8;12;14;3;5;3
17524;0;4;6;0;0;0;0;10;0;5;0;1;0;1;9;1;5;10;18;28;12;21;12;47;51;35;41;37;17;0
17541;0;0;0;0;0;0;0;0;0;0;2;6;3;5;11;17;5;45;58;193;283;1081;117;207;219;102;23;20;3;18
17614;2;0;0;0;15;0;0;0;0;5;5;0;2;21;30;8;34;119;694;279;60;140;62;67;71;138;62;41;37;11
17616;0;0;0;0;4;0;0;0;0;0;0;0;0;0;8;0;17;9;40;37;8;16;24;39;63;31;18;25;0;0
17653;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;20;29;18;43;14;7;29;17;23;10;14;10;7;0
17662;0;7;0;0;0;3;0;6;17;23;9;3;14;4;0;16;69;106;1944;5483;2332;778;6926;1692;498;105;24;43;107;18
17665;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;16;0;22;7;12;20;5;16;25;28;7;12;7;15
17777;0;0;0;7;0;7;0;0;1;0;2;2;2;9;21;6;9;92;31;38;20;32;25;41;42;50;49;25;7;11
17867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;2;27;60;25;22;27;5;11;6;14;0;7;0
17873;0;0;0;0;0;0;0;0;0;11;0;10;0;5;1;0;3;22;64;196;111;154;86;80;75;90;74;37;32;9
17877;0;0;0;0;1;2;4;0;1;4;0;0;0;4;13;6;5;3;32;61;31;33;28;32;21;39;22;15;13;11
18001;28;39;13;8;22;9;8;9;18;32;4;26;46;98;407;1060;2834;6066;7519;13524;6470;6817;6364;7733;7431;7776;5478;4456;4129;1911
18029;0;9;0;0;0;0;0;1;0;1;2;0;0;10;0;7;8;80;90;98;79;126;67;136;176;208;76;117;54;31
18094;0;0;0;0;0;0;0;0;0;0;5;2;1;6;6;0;5;26;422;329;345;220;411;332;492;449;256;271;136;54
18150;1;0;0;0;0;0;0;0;0;0;1;0;2;28;44;28;13;320;11;35;20;4923;678;501;385;185;189;364;943;232
18205;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;38;309;211;187;159;225;285;257;78;67;100;35
18247;0;2;12;0;0;0;0;4;1;8;5;0;3;21;15;48;13;158;63;509;147;590;363;204;187;345;392;193;185;115
18256;0;0;0;4;0;0;0;5;4;8;5;0;5;8;2;16;32;43;111;604;134;713;430;430;443;658;762;1005;642;202
18410;0;0;0;0;1;4;0;0;0;3;0;1;0;15;3;17;26;45;54;792;112;1423;192;638;501;418;413;451;298;80
18460;0;0;1;0;0;0;0;0;3;0;0;0;0;2;1;2;11;11;6;118;69;186;118;87;182;263;96;125;39;30
18479;0;1;6;0;0;0;1;0;0;2;4;0;0;1;15;6;2;5;107;33;44;99;73;272;167;172;109;180;124;34
18592;5;0;0;2;0;0;0;0;0;0;4;0;1;12;14;147;639;172;85;103;23;406;523;667;614;457;425;613;456;189
18610;0;3;0;0;0;1;0;0;0;0;4;0;8;3;1;3;21;15;84;119;99;325;280;296;271;211;168;194;137;51
18753;1;2;4;0;0;0;0;0;0;2;1;0;1;0;67;36;74;51;47;417;89;935;768;771;570;665;422;325;370;244
18756;0;0;0;0;0;0;0;0;0;5;0;0;0;3;7;6;10;10;17;8;20;10;141;158;49;248;122;153;96;67
18785;2;0;0;0;0;0;2;0;0;0;0;3;2;0;0;0;8;83;27;69;103;56;182;231;193;327;281;291;347;192
18860;0;0;0;0;0;0;0;0;0;2;0;5;13;7;21;40;384;180;118;630;247;170;226;439;180;263;172;86;151;9
19001;11;44;13;18;7;16;27;33;48;24;96;41;32;31;30;74;133;3164;7618;6826;3496;3083;5083;8188;8582;8908;6796;4117;6607;3263
19022;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;10;11;1;0;5;7;7;8;31;2;7
19050;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;2;3;0;0;0;70;30;49;52;429;545;201;62
19075;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;25;21;12;44;87;73;78;173;121;100;26;65;78
19100;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;3;9;96;72;78;42;48;103;100;69;29;15;33;45
19110;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;14;5271;318;32;32;22;97;49;20;56;63;29;69;6
19130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;21;151;162;23;24;10;17;109;157;81;39;25;45;13
19137;0;0;0;0;0;0;0;0;11;0;0;0;0;0;6;0;0;9;26;13;11;5;230;309;42;17;22;26;11;8
19142;0;0;4;0;0;1;16;1;0;0;0;0;0;0;1;1;3;39;151;1155;46;68;2130;71;128;165;67;116;136;63
19212;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;7;0;7;81;62;26;79;120;55;88;152;83;114;94;114
19256;0;0;0;0;7;0;0;7;10;0;0;0;0;9;0;4;18;66;922;383;68;130;252;283;337;447;297;407;854;204
19290;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;11;24;69;32;45;82;72;21;25;34;21
19300;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;6;0;13;22;7;25;7;9;7;12;15;14;10
19318;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;9;2496;657;111;6;151;120;692;188;362;230;1424;114
19355;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;9;6;12;6;11;47;33;56;32;23;9
19364;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;9;2353;0;3;0;20;4;12;3
19392;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;12;3;5;2;8;12;28;9;13;25;3;11
19397;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;8;6;15;55;21;70;21;23;3;10;6
19418;0;12;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;1243;26;715;0;0;0;133;1185;268;67;87;3
19450;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;41;453;326;290;370;247;486;557;281;123;81;216;99
19455;0;0;6;0;0;2;0;0;0;0;0;0;4;0;10;6;28;21;2272;40;62;27;62;105;136;224;85;120;146;87
19473;0;6;10;0;0;0;0;0;3;17;7;7;0;23;0;10;4;15;27;39;54;30;114;123;138;169;220;175;293;69
19513;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;0;8;0;0;0;0;1;11;20;6;6;10;8
19517;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;3;0;7;9;23;61;19;2019;53;15;4;21;111;5
19532;0;0;0;0;0;0;0;0;0;0;3;1;0;4;0;7;10;36;193;383;228;136;211;211;259;258;215;138;179;86
19533;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;12;17;25;90;61;127;99;101;221;282;155;98;88;41
19548;0;0;3;3;1;0;2;4;5;0;0;0;2;0;17;1;13;83;193;228;98;238;193;214;207;257;165;143;140;52
19573;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;5;3;14;156;31;22;15;31;73;78;93;47;88;11
19585;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;6;0;4;0;1;4;4;0;0
19622;2;0;0;0;0;0;0;2;3;3;1;10;7;0;1;4;8;6;71;31;30;97;90;118;229;141;72;64;56;38
19693;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;4;3;0;0;0;0
19698;0;8;0;3;0;4;17;0;17;3;29;2;9;44;6;36;44;189;5662;896;175;316;1840;563;489;2178;466;344;431;263
19701;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;11;10;12;4;9;0;18;18;11;5;13;5
19743;0;1;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;25;6;26;2;1;5;9;3;0;9;4;4
19760;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;7;0;0;17;32;32;3;7;8;7;4
19780;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;4;0;78;17;16;66;16;52;62;42;62;69;60;147;8
19785;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;51;9;0;1;5;18;0;34;14;18;70;8
19807;0;0;29;0;0;6;0;11;0;8;0;1;7;3;0;7;15;44;182;207;487;86;209;355;322;376;275;172;261;91
19809;0;0;0;0;0;0;0;0;0;3;0;0;0;2;6;3;8;0;65;2424;12;0;20;41;116;1872;111;151;1988;195
19821;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;24;7;29;383;11;15;4;649;15;20;26;24
19824;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;6;0;0;0;21;9;9;0;0;5
19845;0;0;0;0;0;0;7;0;1;0;3;0;6;0;3;0;0;15;32;15;24;26;19;46;96;93;83;33;64;7
20001;29;31;31;48;34;45;63;119;103;196;137;175;217;555;996;1015;1467;10637;13004;18273;11249;6764;7222;5222;5869;4849;2046;1185;543;152
20011;0;7;19;7;32;13;17;42;23;11;52;106;85;374;203;337;243;718;785;1288;1352;1160;1079;996;1227;701;476;536;374;106
20013;12;7;1;1;6;24;12;3;0;24;11;15;16;87;530;1732;345;869;2542;2041;2677;2634;1460;2067;1960;513;239;196;128;28
20032;0;0;0;0;0;0;2;0;0;0;0;9;13;18;0;15;32;113;24;76;40;63;68;80;326;35;5;9;3;0
20045;0;18;0;0;1;0;9;12;12;12;5;10;13;12;78;132;209;296;634;1227;913;606;491;362;430;237;232;169;110;32
20060;0;0;4;22;0;2;24;19;14;13;23;92;79;201;256;330;260;444;365;637;1629;1041;1207;844;930;283;123;85;33;13
20175;0;3;0;5;18;0;0;7;5;16;1;30;18;0;31;58;19;272;156;100;64;147;120;120;113;37;35;33;5;0
20178;4;18;17;9;0;0;0;22;19;7;5;16;3;7;29;20;36;508;559;1288;305;181;248;251;312;259;110;123;105;18
20228;3;0;3;3;0;2;0;4;4;13;41;8;12;7;31;43;180;323;232;663;1418;1251;1128;611;360;235;171;140;150;29
20238;12;5;0;0;0;0;0;10;17;19;5;8;26;89;31;46;95;132;260;464;1758;755;356;78;97;69;46;19;15;79
20250;0;0;0;1;0;0;0;1;2;4;0;10;2;6;30;11;55;186;73;117;91;196;154;125;126;123;45;38;8;11
20295;0;5;0;0;6;0;9;0;3;0;0;5;4;15;22;38;13;23;43;47;30;59;78;101;68;53;28;24;38;15
20310;1;0;0;0;0;0;7;0;0;0;0;7;3;0;22;18;5;32;27;82;27;47;26;29;17;7;11;4;13;5
20383;0;3;0;2;3;2;0;24;28;9;7;35;26;122;37;64;51;76;125;197;72;168;90;78;115;137;40;33;19;17
20400;0;0;0;0;5;6;0;6;15;4;4;15;24;32;60;36;139;139;240;797;893;586;1049;260;335;262;204;225;112;23
20443;0;6;7;0;0;0;0;0;7;0;4;2;17;27;22;40;50;520;342;296;481;487;224;638;219;117;81;57;65;42
20517;7;0;0;13;0;1;0;8;14;20;16;33;24;102;64;74;46;108;789;2116;394;986;392;280;225;218;96;47;65;0
20550;1;4;0;1;0;9;1;5;20;31;18;7;31;328;92;82;113;299;235;1018;323;1103;231;196;219;553;137;107;94;7
20570;4;1;13;27;0;14;16;28;13;23;23;0;5;46;9;48;23;225;331;602;696;929;293;358;195;109;39;58;36;19
20614;0;0;0;0;0;0;0;0;17;0;4;3;0;7;1;15;59;47;76;69;28;96;114;95;94;38;60;5;24;8
20621;0;0;4;0;3;0;0;3;6;27;0;7;8;32;76;76;108;920;463;424;143;316;298;740;921;439;178;209;88;40
20710;0;0;0;4;1;0;5;3;1;13;13;32;15;33;23;35;20;23;41;24;67;112;40;112;59;75;80;56;17;34
20750;0;9;0;3;31;10;29;11;21;31;59;30;55;232;979;97;185;1103;1504;590;441;604;759;236;265;154;65;36;73;2
20770;0;0;0;0;0;0;0;4;0;12;0;102;6;20;10;168;44;15;63;116;45;118;211;244;224;97;44;51;13;30
20787;5;0;0;2;1;0;0;0;0;0;0;0;7;4;13;37;7;90;48;48;43;23;65;113;102;54;33;14;5;4
23001;81;155;105;154;239;1514;1193;944;470;653;2652;903;1786;2401;5576;4788;2097;3471;6170;4982;2056;1833;2495;2413;2696;3564;1996;1914;1979;498
23068;0;0;0;1;0;11;0;0;0;0;8;4;4;21;19;22;15;27;45;399;61;77;91;55;115;144;141;200;100;1
23079;0;2;0;0;0;15;0;0;0;0;7;0;11;23;1;78;12;59;113;126;112;95;89;79;82;98;118;44;44;11
23090;0;7;0;6;8;61;68;24;28;12;102;28;105;42;38;45;24;25;61;14;17;26;86;74;24;70;29;21;18;0
23162;0;16;23;14;14;40;68;93;28;87;65;91;156;174;137;191;111;182;654;941;100;35;168;178;159;156;116;114;126;29
23168;0;0;0;0;0;0;0;12;7;4;0;0;13;0;0;0;16;27;0;0;3;0;7;10;20;4;22;4;1;0
23182;0;0;0;0;0;0;9;5;8;13;10;9;4;35;25;55;90;228;228;157;40;38;63;14;94;81;35;51;50;2
