CODMUN_SALIDA;ND;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
15162;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;6;0;9;0;0;0;0;0;0
15172;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;3;19;28;9;0;13;20;5;1;0;0;0
15176;1;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;9;0;16;14;36;39;50;40;38;13;3;7;0
15180;0;0;0;0;0;0;0;0;0;7;0;3;0;0;4;0;14;12;58;70;50;29;17;20;4;0;2;6;0;4
15183;3;6;0;0;0;0;0;0;4;6;3;0;3;0;1;10;15;17;37;61;82;91;75;104;118;51;43;30;24;9
15185;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;3;5;0;7;5;1;15;18;17;11;19;3;0;0
15187;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0
15204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;5;0;4;0;4;0;0;0;0;0
15212;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;0;6;7;12;14;6;0;2;10;0;0;0
15218;1;0;0;1;0;0;0;0;0;0;0;0;1;2;11;0;5;3;37;33;6;10;1;26;7;13;6;0;0;3
15223;23;0;0;6;0;0;13;0;0;0;0;0;0;0;4;0;5;0;1;6;22;17;12;12;23;38;30;15;43;18
15224;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0
15226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;5;1;0;0;0;0;0
15232;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0
15236;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;5;16;84;24;17;4;7;6;0;4;0
15238;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5;12;4;4;25;23;27;43;41;10;0;4;0
15244;0;0;0;0;0;3;0;1;7;5;0;0;0;0;0;1;0;0;11;40;13;26;17;2;17;12;0;0;6;0
15248;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;2;9;26;57;15;0;5;24;4;1;1;0;0;0
15272;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0
15276;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0
15293;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0
15296;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;3;0;12;10;0;13;8;0;0;0;0
15299;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;11;10;20;38;15;11;17;32;7;0;0;0
15317;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;11;12;5;11;0;2;2;0;0;0;0
15322;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;6;15;25;7;10;21;19;14;0;0;4;0
15325;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;10;0;27;13;1;4;7;27;10;6;1;0;0
15332;1;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;19;17;25;27;8;2;6;9;4;15;2;0;0;3
15362;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;5;0;0;0;0;0;0;0;0;0
15367;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;13;10;0;1;0;0;0;0
15368;0;0;0;0;0;0;0;0;0;0;0;0;0;3;6;0;0;7;7;17;0;17;29;8;13;7;28;17;0;0
15377;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;29;71;98;137;69;112;108;33;19;24;8;2;0
15380;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;7;0;0;0;0;0;0
15401;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;5;6;4;0;0;6;0
15403;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;8;9;4;3;0;0;16;21;0;1;0;0
15407;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
15425;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;11;17;17;15;10;23;6;11;0;0;0;2
15442;1;0;0;0;0;0;0;0;0;0;0;0;5;0;0;4;0;0;7;13;17;9;46;36;43;45;25;0;1;1
15455;5;0;0;0;0;1;1;0;4;0;7;0;0;0;0;0;2;0;35;34;33;44;3;57;12;35;10;0;0;1
15464;6;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;12;7;0;7;70;19;14;0;4;5;0;0;0
15466;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;0;0;4;0;0;0;0;0
15469;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;1;19;12;57;42;39;21;0;3;0;0
15476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0
15480;1;0;2;0;0;14;3;12;3;0;0;0;0;6;0;0;18;13;41;33;13;41;34;73;98;39;40;4;6;6
15491;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;4;0;14;0;0;4;1;0
15494;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;18;0;0;0;0
15507;9;9;1;11;1;5;0;0;5;2;5;0;0;0;12;0;0;16;55;69;29;53;83;136;220;160;45;3;36;5
15511;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;6;0;0;4;0;0;0
15514;10;0;1;2;0;9;3;8;12;2;5;0;2;7;1;5;60;24;418;147;27;58;23;11;24;21;0;3;2;0
15516;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;2;2;0;0;4;0;2;0;0;0
15518;21;0;0;0;0;2;1;0;0;0;0;0;0;0;8;10;27;21;52;93;31;21;37;23;12;26;52;12;21;11
15522;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;18;3;6;3;4;0;4;0;0;0;0
15531;0;0;3;30;3;0;0;0;0;5;0;0;7;0;5;15;0;7;29;13;14;29;43;62;79;64;18;3;3;0
15533;7;3;0;0;0;4;0;7;0;6;0;0;0;4;13;0;0;26;4;2;9;36;14;52;30;43;26;1;7;0
15537;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;3;10;16;0;14;0;8;0;3;0;0;0;0;0
15542;0;0;0;0;0;0;0;0;0;0;3;6;0;0;8;0;0;0;6;0;1;38;26;4;0;13;4;2;0;1
15550;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;12;45;22;23;53;16;18;19;8;8;1;2;0
15572;30;85;38;27;4;35;7;5;9;7;1;0;9;9;10;19;43;49;83;134;137;154;258;278;421;352;323;55;95;14
15580;0;0;0;2;0;0;8;0;0;0;0;0;0;0;0;0;0;0;4;7;4;29;40;37;45;33;12;0;0;4
15599;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;43;5;19;9;4;7;6;0;0;4
15621;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;6;0;1;9;1;6;1;14;0;0
15632;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;9;5;9;0;5;0;0;0
15638;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
15646;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;6;0;1;7;0;0;0;0;3;3
15660;4;0;0;0;0;0;0;0;40;0;0;0;4;0;0;0;0;0;6;2;5;3;7;12;8;5;0;5;0;0
15664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;10;6;5;9;2;5;4;5;2;0;4;6
15667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;32;32;32;110;42;60;43;23;12;1;2;0
15673;4;3;0;0;0;0;0;0;0;4;4;0;0;0;4;2;0;6;105;126;23;26;1;21;42;11;9;0;0;0
15676;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
15681;3;0;0;8;0;5;2;0;0;0;0;5;4;0;0;3;1;5;16;27;9;59;71;77;78;35;8;24;0;0
15686;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;7;9;4;8;13;23;4;9;1;5;4;3
15690;0;0;0;0;0;0;0;0;10;10;2;0;0;0;0;0;0;3;5;7;6;30;29;17;19;6;14;3;0;4
15693;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;5;0;5;10;1;0;0;0;0
15696;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0
15720;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;7;4;3;0;4;14;0;0;0;1;0
15723;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;5;5;0;0;0;0;0
15740;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;4;0;3;0;0;0
15753;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;1;35;10;2;14;13;13;12;0;0;0;0;0
15755;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;3;8;15;20;36;35;66;116;62;68;28;24;14;6;5
15757;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;12;21;35;6;8;19;17;18;1;5;0;3
15759;14;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;4;12;9;73;34;32;24;35;29;25;14;0;0;3
15761;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5;0;13;11;1;0;9;12;0;0;0
15763;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;3;0;0;3;0;1;0;0;0
15764;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0
15774;1;0;0;0;0;0;0;0;0;4;10;4;0;0;0;0;2;16;7;8;18;6;7;24;10;0;13;0;0;0
15776;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
15778;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
15790;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;5;0;12;4;0;9;9;0;0;2;0;0;0
15798;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0
15804;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;2;0;3;0;6;0;0;0;0
15806;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;1;0;0;0;0
15810;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0
15814;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
15816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;15;1;6;2;0;7;13;0;3;4;0
15820;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;1;2;4;0;0;0;0;3
15822;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;0;0;0;0;0;6;4;0;0;0
15832;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;2;1;3;4;14;6;4;0;0;0
15835;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;6;0;0;0;0;0
15837;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;2;0;0;0;0;0
15839;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;6;7;7;22;5;18;1;2;3;6;0
15842;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;24;0;9;6;15;3;0;0;0;0
15861;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;3;0;9;3;9;0;0;0;0;0
15879;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0
15897;11;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;1;10;3;48;7;14;28;7;0;0;0;0
17001;7;4;0;0;5;0;0;0;0;3;0;11;5;2;4;4;29;68;254;460;262;268;267;238;197;125;64;17;29;6
17013;0;0;0;0;0;0;0;0;0;3;0;15;7;0;3;3;10;38;65;237;225;326;219;226;240;194;62;9;16;17
17042;20;5;0;0;0;1;4;4;1;14;6;4;6;19;27;29;31;31;95;191;289;383;323;363;252;142;93;18;26;21
17050;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;3;13;0;39;54;19;25;51;47;61;27;21;0;4;4
17088;3;0;0;0;0;0;0;1;11;0;1;0;0;0;0;0;7;12;7;21;25;22;21;25;32;22;10;8;2;0
17174;7;0;0;12;0;0;0;0;0;0;0;0;0;12;10;9;0;24;34;92;51;128;72;78;95;115;44;34;13;8
17272;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;7;6;5;50;62;50;16;22;67;95;61;4;0;7;5
17380;6;0;0;0;10;0;2;10;2;0;11;6;26;9;7;8;22;70;120;206;177;226;247;240;336;340;86;17;17;36
17388;0;2;0;0;0;0;0;0;0;0;0;3;0;0;5;23;14;24;57;81;52;68;40;40;36;21;6;0;0;8
17433;0;0;3;0;0;0;0;0;0;0;0;0;7;0;2;0;0;37;134;353;167;141;115;177;138;149;29;4;3;14
17442;0;0;0;0;0;0;0;0;8;0;0;0;0;0;12;0;5;0;3;18;0;28;64;30;20;19;11;0;4;0
17444;9;0;0;0;0;0;3;0;0;0;7;3;0;11;0;6;6;26;175;1231;225;1969;125;147;138;117;77;9;10;18
17446;0;0;0;0;0;0;0;0;0;11;3;0;5;0;9;6;4;37;35;207;33;99;58;103;80;33;15;7;0;0
17486;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;7;5;300;132;33;14;61;117;86;90;23;19;0;5
17495;0;7;0;0;0;0;0;18;1;4;0;0;0;0;0;0;0;18;12;4;5;99;96;133;110;59;20;0;6;4
17513;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;22;12;134;240;89;39;149;61;85;92;40;7;13;8
17524;18;0;0;1;0;1;0;0;2;0;0;2;2;0;0;3;0;23;28;44;63;15;36;27;47;40;13;2;6;8
17541;55;3;0;0;0;5;0;0;11;4;2;6;18;18;40;50;37;259;343;3460;769;2198;383;496;555;404;187;29;44;52
17614;33;2;0;5;16;10;10;3;6;11;6;5;20;26;47;35;73;123;1260;805;388;394;334;349;424;313;133;65;50;39
17616;0;0;2;0;0;4;3;10;0;5;0;0;0;5;2;6;0;29;45;64;46;28;45;39;52;43;23;7;8;0
17653;8;0;0;0;0;0;0;2;0;10;7;11;0;0;0;18;32;94;185;415;196;153;174;233;125;69;35;44;9;4
17662;56;22;17;8;16;2;6;29;44;56;70;11;36;56;84;74;201;360;2923;12889;3985;1995;8355;2918;1823;748;301;134;64;36
17665;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;4;5;51;27;44;19;19;17;12;11;0;0;10
17777;0;0;0;7;0;14;3;0;9;10;0;7;0;7;0;1;5;18;82;144;66;122;93;71;81;64;40;10;30;16
17867;0;0;0;0;1;0;0;21;3;1;0;5;0;0;0;17;5;0;1;124;44;32;50;50;81;36;27;9;11;0
17873;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;14;25;32;40;53;47;64;77;56;26;5;4;10
17877;0;0;0;0;0;2;0;3;0;0;0;0;0;0;0;2;1;15;26;21;3;35;32;41;30;50;4;0;0;11
18001;271;26;15;18;9;10;1;10;9;42;21;21;25;110;107;274;654;1006;1625;3164;2040;2362;2326;3225;3109;2777;1451;958;857;438
18029;12;1;0;1;0;0;7;4;0;0;0;4;0;32;3;12;70;85;411;526;271;337;285;325;246;277;249;163;92;31
18094;11;30;0;0;0;0;10;1;0;2;5;0;1;11;48;21;97;120;632;1150;696;480;781;638;631;631;379;283;218;112
18150;312;30;6;1;5;11;29;10;5;0;4;16;21;227;280;441;1191;1122;906;1399;1483;9285;3701;2912;2397;1747;1047;1375;1819;583
18205;200;2;0;2;0;0;5;7;0;0;0;10;14;0;58;157;514;1045;4003;3238;1221;919;770;825;1080;988;596;362;341;177
18247;76;20;0;3;10;0;0;13;5;13;7;12;12;23;66;101;84;170;313;1932;532;410;682;883;961;863;661;637;503;261
18256;43;0;7;0;5;0;2;5;4;11;0;0;0;11;24;56;101;183;363;1858;423;330;549;578;649;627;671;742;556;159
18410;65;0;0;4;1;4;1;14;30;8;16;15;17;33;87;205;283;330;876;2365;792;4439;1176;1528;1364;1280;1307;1180;906;346
18460;130;0;0;0;2;0;11;0;3;18;2;6;7;27;62;83;258;404;630;1335;919;1234;1068;1153;1214;1225;626;598;539;316
18479;27;0;4;0;0;0;19;0;0;2;0;0;6;14;3;38;29;77;289;392;230;163;99;300;181;115;87;42;48;39
18592;35;23;5;12;2;4;1;0;7;19;23;15;28;17;19;69;115;247;884;1772;1328;1041;1853;2661;2119;2193;1289;1373;1316;558
18610;81;21;2;0;0;5;0;1;0;4;0;11;28;42;54;169;430;363;774;1946;567;944;888;1474;1360;1082;776;537;451;264
18753;330;17;12;2;2;7;20;12;6;57;16;29;49;71;244;449;416;743;1224;4437;1270;2309;2412;4507;4688;3511;2229;1729;1650;833
18756;106;5;0;0;14;3;0;5;0;6;2;2;10;29;83;129;312;442;557;826;754;726;966;1009;1021;934;731;799;788;303
18785;217;0;0;7;2;4;12;0;2;0;0;5;0;11;34;43;186;967;1286;1907;893;734;689;904;790;793;472;429;459;180
18860;147;15;15;0;0;4;0;1;5;7;0;0;11;16;91;414;1173;970;1038;3364;1133;955;743;1118;514;608;368;306;317;69
19001;28;3;0;0;0;0;2;0;0;2;0;0;0;16;11;15;86;199;516;440;458;223;378;338;355;246;180;184;190;135
19022;0;3;5;0;0;0;16;15;3;4;0;4;0;1;2;27;15;13;109;145;130;73;161;305;313;348;229;130;224;126
19050;38;0;0;2;0;2;6;0;0;0;0;10;0;10;22;2;10;109;363;449;240;196;427;991;2658;2734;2022;1609;1968;1010
19075;13;5;0;0;0;0;0;0;0;4;3;1;14;4;11;10;12;24;84;104;70;200;383;991;1221;1472;921;550;421;286
19100;14;8;30;21;12;6;10;9;8;1;10;22;12;20;23;18;7;68;561;759;403;588;631;1476;1221;1199;902;642;1371;628
19110;273;0;0;0;0;0;0;15;6;0;4;0;16;4;8;72;40;5796;6556;342;271;320;212;202;144;223;172;180;258;56
19130;708;3;0;0;0;5;20;0;6;5;20;5;13;3;17;20;159;1647;1960;624;261;299;448;524;537;618;360;476;561;180
19137;17;0;0;0;0;10;3;0;0;1;0;3;0;4;7;0;33;8;121;92;73;87;384;178;102;230;161;104;163;88
19142;16;6;0;0;0;1;0;0;0;0;0;0;13;0;3;11;31;66;314;1368;93;33;2189;147;159;141;143;204;272;195
19212;17;4;0;7;0;5;15;0;0;5;29;14;9;9;2;11;38;68;210;273;281;217;259;222;228;244;301;311;431;248
19256;78;32;2;7;8;6;4;17;117;51;36;25;10;7;20;25;94;379;4279;2909;898;924;1691;1887;2110;1934;1307;1541;2094;738
19290;19;0;0;3;0;4;0;0;0;0;0;0;0;0;0;17;0;12;46;53;17;45;29;84;74;113;44;53;58;31
19300;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;2;13;5;3;2
19318;1;0;0;0;0;0;1;0;0;0;0;0;0;3;3;0;11;15;2;867;104;76;183;235;217;348;683;510;2282;636
19355;4;0;7;0;6;4;7;6;0;0;0;2;6;0;2;14;0;32;117;82;64;58;84;155;240;208;149;149;101;52
19364;0;0;0;4;0;0;0;0;0;4;0;14;0;0;0;0;3;8;15;56;21;16;2491;23;49;65;60;33;62;55
19392;7;0;8;0;0;3;1;9;0;9;0;12;11;3;4;5;0;23;244;407;148;82;152;88;157;178;157;66;116;41
19397;63;7;2;4;0;0;16;9;6;12;7;18;15;11;17;21;48;298;535;590;319;337;573;656;648;822;756;288;470;252
19418;45;12;0;0;0;0;0;0;0;5;0;0;1;6;0;5;46;157;4296;1704;886;149;255;382;579;1570;592;732;918;216
19450;44;6;2;0;0;12;0;14;11;2;12;12;0;1;3;0;33;56;73;410;120;136;124;348;961;703;672;606;604;167
19455;25;0;2;1;0;0;1;0;0;0;0;0;8;0;15;21;19;30;2310;178;115;145;114;172;232;258;87;122;131;160
19473;30;6;13;1;0;0;0;7;1;6;0;1;7;19;4;15;36;79;180;159;74;118;66;217;215;368;370;161;453;186
19513;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;13;0;9;23;44;20;10;12;7;5;11
19517;2;2;10;0;0;5;12;0;4;11;1;10;8;17;7;5;20;18;106;171;96;80;194;2277;397;473;256;211;325;121
19532;54;7;2;2;0;4;8;11;19;9;43;4;15;10;14;17;19;98;328;551;218;337;561;1489;1657;1790;1072;450;693;264
19533;9;0;0;0;0;0;0;0;0;0;0;0;0;1;0;32;49;149;548;868;470;609;650;602;691;651;302;316;309;212
19548;16;0;0;3;2;3;11;0;5;0;0;11;1;3;6;2;8;19;55;81;85;82;49;66;153;140;79;63;96;43
19573;0;1;0;0;0;0;0;0;0;0;2;0;3;0;4;4;0;12;69;39;45;69;97;129;127;134;72;47;116;27
19585;3;3;0;0;0;4;0;7;0;0;0;0;0;4;0;0;0;26;100;158;216;125;121;165;121;135;39;58;27;20
19622;0;3;6;0;0;0;2;4;17;3;0;4;7;18;7;0;0;54;318;162;93;73;60;152;244;316;364;159;74;54
19693;12;5;4;3;0;0;3;3;0;0;9;3;0;0;1;0;0;0;114;195;262;65;99;121;211;186;120;72;71;61
19698;143;8;0;0;0;0;0;10;4;1;0;2;4;37;5;8;43;156;527;903;223;167;243;247;359;278;239;159;277;204
19701;16;2;7;1;0;0;3;2;0;0;5;0;0;4;1;38;26;113;297;221;611;366;405;464;328;221;120;89;103;52
19743;22;0;0;0;0;0;0;0;0;0;14;0;0;0;4;3;10;5;27;73;59;32;84;88;68;126;65;82;121;77
19760;1;0;5;0;0;3;0;1;11;1;1;0;2;2;0;6;10;25;44;79;43;65;171;88;126;176;67;21;113;60
19780;57;1;0;0;0;0;0;0;0;0;3;0;8;15;0;0;13;221;359;212;122;153;215;100;115;166;100;67;375;110
19785;0;0;0;0;0;0;7;0;0;0;0;0;4;5;0;3;17;17;0;0;6;12;76;343;265;350;266;104;299;118
19807;6;4;0;0;0;1;0;4;0;11;22;9;2;9;0;8;57;92;298;522;249;200;271;275;342;314;209;152;190;120
19809;30;4;0;0;0;6;0;0;0;3;0;0;0;55;34;3;15;2;87;2476;125;51;144;147;245;2153;614;612;2620;451
19821;18;7;10;3;3;1;17;2;3;6;3;1;1;11;0;7;8;12;74;64;396;429;2116;119;235;964;200;168;393;221
19824;7;0;0;0;0;0;0;0;0;0;0;3;4;1;4;31;1;9;41;43;12;34;51;17;86;77;91;23;25;42
19845;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;3;0;0;0;0;8;13;3;8;12;70
20001;1160;41;28;32;34;25;49;92;63;95;120;90;147;455;762;804;1635;4866;6645;12632;7342;4449;3786;2862;3073;2723;895;312;313;49
20011;173;13;5;5;32;6;6;54;17;23;52;106;127;145;229;356;387;726;1140;1233;631;1133;1350;1010;1484;950;552;166;149;37
20013;598;24;28;15;13;27;18;41;53;38;40;18;79;198;848;1413;696;1628;6127;4843;4370;4154;2961;2570;1846;735;199;68;72;24
20032;198;4;0;2;0;4;20;54;10;14;15;21;14;39;46;67;220;1621;448;528;286;218;287;251;497;156;64;7;19;17
20045;197;40;2;0;9;12;21;31;32;60;38;41;39;60;439;481;335;575;1131;2524;1939;1045;787;446;515;252;53;15;26;3
20060;191;0;0;3;0;1;7;16;8;20;13;14;44;108;154;159;258;440;711;1035;1423;592;565;497;499;383;65;16;10;4
20175;81;0;4;0;5;2;0;6;4;1;14;11;2;20;28;83;50;428;568;454;334;298;412;373;475;226;214;88;90;15
20178;38;18;0;1;2;0;0;27;0;21;24;20;0;25;35;70;87;619;1579;2149;634;348;408;358;342;283;60;10;36;16
20228;243;60;24;34;24;15;22;25;14;47;75;47;77;110;244;217;744;920;1622;2409;2068;1679;2196;1154;729;460;151;48;59;24
20238;428;6;7;1;9;13;38;53;47;120;43;35;120;265;348;401;388;1186;2026;2100;3417;1890;1182;851;654;422;71;36;27;5
20250;88;5;0;2;3;0;0;0;7;2;9;15;14;39;90;40;124;300;407;271;157;127;253;148;239;140;76;8;30;4
20295;33;0;0;0;0;0;0;10;2;10;0;16;9;14;21;38;17;25;152;127;86;100;194;135;181;103;53;22;11;0
20310;0;0;0;0;0;0;0;0;0;0;5;0;0;0;7;0;2;10;17;44;1;25;27;27;46;32;19;4;13;0
20383;56;0;0;7;0;0;1;14;8;2;0;72;22;637;274;212;65;107;209;676;236;365;199;193;261;288;46;44;14;11
20400;106;12;0;0;0;14;23;0;27;30;19;53;43;67;218;222;267;434;705;3197;2155;1502;2194;743;545;167;75;30;29;33
20443;32;6;6;0;0;0;7;1;1;7;0;7;17;14;47;19;12;98;96;153;137;440;259;790;234;90;43;11;25;17
20517;98;0;0;5;5;10;4;29;22;19;40;45;133;242;295;136;120;277;1790;2685;694;1554;730;412;347;218;103;36;26;3
20550;92;16;0;3;6;13;24;7;52;61;17;18;65;597;433;346;196;390;859;1417;486;1328;511;430;367;769;161;34;60;27
20570;17;8;18;40;1;18;9;42;17;79;32;19;13;110;22;88;103;377;375;1190;1457;1909;760;606;521;392;226;28;4;12
20614;5;0;0;0;2;3;2;0;23;0;6;55;6;15;8;21;110;58;93;80;55;82;98;70;67;61;29;29;26;4
20621;52;13;0;2;26;1;8;4;2;13;46;34;45;46;129;86;161;756;518;683;814;1025;972;1339;1087;591;90;29;15;36
20710;125;0;3;5;1;3;72;19;11;68;172;215;279;207;260;704;268;247;520;353;235;186;273;243;339;338;246;126;38;30
20750;285;3;0;0;11;0;30;40;13;24;46;42;32;252;1265;374;321;1295;2093;728;701;996;621;557;386;173;87;22;17;3
20770;54;6;0;5;15;0;14;21;0;33;8;192;51;49;45;111;44;81;188;221;67;117;191;236;285;249;189;66;32;9
20787;6;3;2;0;0;0;0;0;8;2;0;1;12;17;25;11;19;77;99;152;68;100;110;184;183;94;47;34;36;12
23001;158;108;62;80;168;1406;983;264;308;142;151;263;443;294;423;462;404;651;888;829;340;482;500;554;641;718;602;598;751;135
23068;36;1;0;0;0;13;10;4;1;3;11;2;8;12;44;73;50;51;102;183;111;119;133;120;142;171;205;417;1198;136
23079;2;1;4;6;23;105;9;15;20;74;16;10;23;8;18;51;7;19;88;37;39;48;27;47;55;52;104;536;271;46
23090;32;21;3;16;57;514;78;94;90;73;54;26;88;36;72;98;26;86;173;105;56;94;80;142;120;154;64;57;97;26
